ACRES,BOROUGH,LOCATION,SIGNNAME,TYPECATEGORY,URL,ZIPCODE
9.375,Q,W. 19 Rd. bet Jamaica Bay and Cross Bay Blvd.,Sunset Cove Park,Nature Area,http://www.nycgovparks.org/parks/Q498/,11693
249.389,Q,"Astoria Blvd. and 48 St. to Union Tp., Park Drive East.",Grand Central Parkway Extension,Parkway,http://www.nycgovparks.org/parks/Q084A/,11103113671136811369113701137111375
2.035,Q,251 St. bet. 61 Ave. and 63 Ave.,Challenge Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q346/,11362
63.636,B,Eastern Pkwy. bet. Grand Army Plaza and Ralph Ave.,Eastern Parkway,Parkway,http://www.nycgovparks.org/parks/B029/,1121311216112251123311238
326.895,Q,Whitestone Exwy. at 13 Ave. to the Linden Blvd and the Belt Pkwy.,Cross Island Parkway,Parkway,http://www.nycgovparks.org/parks/Q135/,110031135711359113601136111362113641
10.79,Q,"169 St., Merrick Blvd., Marne Pl. bet. Linden Blvd., Sayres Ave., and 111 Rd.",Archie Spigner Park,Community Park,http://www.nycgovparks.org/parks/Q051/,11433
3.301,X,"Gleason Ave., Watson Ave. bet. Noble Ave., and Rosedale Ave.",Watson Gleason Playground,Neighborhood Park,http://www.nycgovparks.org/parks/X124/,10472
13.75,Q,Seagirt Blvd bet. B. 17 St. and B. 12 St.,Beach 17 Playground,Neighborhood Park,http://www.nycgovparks.org/parks/Q162J/,11691
0.1,Q,Linden Blvd. bet. Farmers Blvd. and 190 St.,Garden,Garden,,11412
0.321,Q,Beach 43 St. bet. Edgemere Dr. and Norton Ave.,Edgemere Coalition,Garden,,11691
0.057,Q,29 St. bet. 40 Ave. and 39 Ave.,Windmill Community Garden,Garden,,11101
0.074,B,Monroe St. between Tompkins Ave. and Marcy Ave.,Shiloh Garden,Garden,http://www.nycgovparks.org/parks/B502/,11216
0.115,B,Powers St. between Judge St. and Olive St.,St Nicholas-powers St Garden,Garden,http://www.nycgovparks.org/parks/B426/,11211
0.059,Q,Liberty Ave. bet. 168 St. and 168 Pl.,Ashmead Park,Triangle/Plaza,http://www.nycgovparks.org/parks/Q003/,11433
0.396,Q,"Merrick Blvd., 171 Pl. bet. 110 Ave. and 110 Rd.",Brinkerhoff Mall,Triangle/Plaza,http://www.nycgovparks.org/parks/Q447/,11433
0.135,Q,Vernon Blvd. bet. 50 Ave. and 51 Ave.,Vernon Mall,Mall,http://www.nycgovparks.org/parks/Q435/,11101
0.19,B,"New Lots Ave. bet. Sackman St., Powell St. and Junius St.",Green Valley Garden,Garden,http://www.nycgovparks.org/parks/B486/,11212
1.836,B,Belmont Ave. to Sutter Ave. between Schenck Ave. and Barbey St.,Sutter Ballfields,Recreational Field/Courts,http://www.nycgovparks.org/parks/B419/,11207
0.038,X,N/B Cross Bronx Exwy bet. Belmont Av and Arthur Av,Park,Strip,http://www.nycgovparks.org/parks/X148G/,10457
0.03,Q,"Astoria Blvd., 25 Ave., 88 St.",O'Sullivan Plaza,Triangle/Plaza,http://www.nycgovparks.org/parks/Q160/,11369
0.026,Q,"Astoria Blvd., 24 Ave., 81 St.",Park,Triangle/Plaza,,11369
1.085,Q,37 Av bet. 112 and 113 Sts,Louis Armstrong Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q415/,11368
1.466,Q,Union St. bet. 31 Rd. and 31 Dr.,Colden Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q347/,11354
46.657,M,Harlem River Dr. from E. 131 St. to W. 145 St. and W. 155 St. to Dyckman St.,Harlem River Park,Parkway,http://www.nycgovparks.org/parks/M039/,10032100331003410037100391004010451
0.023,Q,Horace Harding Exwy. Sr. Rd. N. bet. Douglaton Pkwy. and 244 St.,Park,Strip,http://www.nycgovparks.org/parks/Q357D/,11362
